Iteration,Start Point,End Point,Path Length
1,"(935, 339)","(1185, 678)",541.7665940288724
2,"(1266, 1250)","(975, 32)",1825.0815280171398
3,"(1289, 1617)","(1151, 1695)",205.32085117392145
4,"(648, 333)","(1103, 220)",626.849855149558
5,"(299, 631)","(475, 511)",331.68838354206935
6,"(1492, 546)","(1022, 356)",751.3006486383913
7,"(1954, 768)","(21, 552)",3036.2959569419127
8,"(1560, 1462)","(789, 1271)",1045.0895372438497
9,"(295, 81)","(199, 915)",1255.373808491312
10,"(1720, 947)","(1666, 339)",876.2955980045087
11,"(1174, 540)","(1558, 1691)",1683.140402520185
12,"(1841, 1805)","(1804, 467)",1757.1820330805278
13,"(1440, 206)","(317, 144)",1651.3170260293211
14,"(1520, 720)","(1858, 1919)",1743.4246737676472
15,"(1617, 1029)","(146, 48)",2570.9385258415823
16,"(1421, 780)","(1449, 1488)",1114.7463914933421
17,"(1315, 1681)","(986, 1219)",785.5727265770333
18,"(853, 1801)","(1625, 159)",2349.9019459151455
19,"(1578, 1416)","(514, 565)",1906.7455249415696
20,"(1037, 1918)","(1067, 825)",1501.0499987245619
21,"(1350, 1955)","(500, 182)",3291.5995641731056
22,"(1383, 840)","(1046, 774)",534.0508652763343
23,"(1040, 1072)","(344, 1632)",1250.3515139147266
24,"(118, 280)","(1768, 1889)",3612.9965337927347
25,"(380, 1546)","(1810, 1814)",2015.451152426342
26,"(268, 351)","(1546, 1476)",2558.423807215816
27,"(673, 958)","(1909, 1550)",1806.4074298249445
28,"(508, 1740)","(725, 315)",1776.258151526276
29,"(1958, 1465)","(409, 729)",2301.588237416165
30,"(1596, 1531)","(365, 1764)",1658.1820330805278
31,"(697, 158)","(1167, 1014)",1329.9839815465791
32,"(1345, 425)","(863, 1704)",1939.272436876151
33,"(464, 1795)","(234, 1155)",898.2367235014632
34,"(312, 514)","(730, 1002)",831.6854249492419
35,"(951, 558)","(1449, 168)",964.9646455628213
36,"(280, 1107)","(895, 986)",840.79812332145
37,"(1281, 756)","(1294, 712)",57.66904755831211
38,"(1447, 1433)","(1765, 1846)",691.589970519736
39,"(1308, 1654)","(588, 1265)",1122.4154390516546
40,"(682, 415)","(767, 621)",305.0315292925768
41,"(1589, 1756)","(911, 269)",2379.019694921224
42,"(1758, 857)","(394, 582)",2279.4044712320897
43,"(709, 1967)","(647, 1040)",1203.4692629208175
44,"(1084, 1460)","(1346, 1990)",968.697618258062
45,"(1951, 1593)","(1413, 1232)",821.6976182580618
46,"(1769, 1949)","(825, 235)",3342.682825293787
47,"(1040, 231)","(807, 542)",506.52395334175304
48,"(741, 1040)","(380, 94)",1617.008368164219
49,"(1075, 744)","(1998, 337)",1590.5840533340809
50,"(1302, 1543)","(1998, 1568)",912.5088014401053
51,"(1446, 1553)","(1671, 368)",1825.370849898484
52,"(757, 807)","(1581, 374)",1440.3048327205015
53,"(1580, 1401)","(697, 498)",1923.076477383257
54,"(60, 382)","(511, 277)",562.8670990922606
55,"(405, 1362)","(1747, 1719)",1903.1963184304027
56,"(1879, 58)","(1067, 1555)",2169.990257669728
57,"(1551, 94)","(832, 223)",1122.8468965567306
58,"(1429, 834)","(1198, 154)",925.3544725075545
59,"(143, 1635)","(1952, 685)",3031.0554082958333
60,"(1153, 96)","(1560, 202)",653.5310960166904
61,"(287, 1854)","(222, 251)",2076.598338683953
62,"(931, 632)","(1919, 1916)",2222.061325481587
63,"(1278, 1577)","(1413, 1381)",310.0020920410541
64,"(583, 922)","(121, 1619)",1023.1778489984179
65,"(1055, 1081)","(409, 115)",1851.5718600252608
66,"(1574, 659)","(204, 601)",1821.7800128269748
67,"(1078, 212)","(293, 569)",1249.415439051655
68,"(60, 291)","(1225, 1209)",2511.622725301547
69,"(1032, 225)","(20, 22)",1417.2093782909958
70,"(1502, 488)","(465, 1217)",1915.5617587574957
71,"(1445, 1009)","(1733, 1312)",536.2935059634538
72,"(1604, 1663)","(449, 328)",2308.7303730398967
73,"(1301, 1793)","(1527, 1673)",380.8010819142776
74,"(860, 735)","(1541, 1057)",1034.2905473706262
75,"(1421, 532)","(1484, 68)",545.2152954766509
76,"(1916, 1941)","(1004, 1300)",1652.1698397717078
77,"(1213, 402)","(990, 1101)",1259.3565645486094
78,"(434, 858)","(1456, 1526)",1988.9414844344635
79,"(304, 1466)","(1409, 1050)",1894.3851352483593
80,"(550, 272)","(1690, 1189)",2061.6399692442974
81,"(398, 1343)","(725, 215)",1468.4814562296376
82,"(1195, 1878)","(1806, 1053)",1766.8510806388404
83,"(1593, 1498)","(94, 1700)",2036.5100269293878
84,"(240, 524)","(488, 1246)",989.2661607529863
85,"(394, 1997)","(602, 1435)",853.0996385116148
86,"(184, 264)","(822, 1962)",2390.3872272893777
87,"(365, 378)","(1560, 379)",1764.3901858822417
88,"(538, 1473)","(972, 652)",1217.812408671325
89,"(793, 88)","(679, 1020)",1267.9423509862363
90,"(1623, 482)","(1626, 915)",885.0235200658667
91,"(778, 1045)","(662, 553)",660.2051942088857
92,"(1564, 993)","(229, 946)",1974.1130573097173
93,"(1795, 694)","(403, 1464)",2740.6857838866717
94,"(1304, 1437)","(1826, 684)",1161.8540392316677
95,"(399, 1159)","(1559, 1862)",1817.171931812763
96,"(680, 157)","(238, 502)",753.8986283848384
97,"(598, 1466)","(1265, 355)",2316.6298679765014
98,"(166, 1787)","(719, 1829)",821.5382386916278
99,"(551, 933)","(21, 238)",1245.6875169902967
100,"(1185, 1744)","(1582, 931)",1446.7190462828742
101,"(318, 1821)","(1052, 1050)",1441.2753954689786
102,"(1538, 236)","(1382, 1562)",1756.5251788310356
103,"(792, 807)","(1491, 1706)",1590.8439379639028
104,"(1788, 665)","(1576, 766)",322.5878784786811
105,"(241, 1722)","(789, 135)",2141.9242404917513
106,"(602, 1784)","(246, 1042)",1176.4692629208173
107,"(1513, 242)","(1173, 788)",893.6265504461965
108,"(1256, 1224)","(1436, 725)",785.1463197058404
109,"(637, 1494)","(1347, 1410)",1012.8885271170731
110,"(561, 709)","(256, 1992)",1688.7850634608571
111,"(1899, 1402)","(1186, 232)",2141.5638507985395
112,"(1854, 1258)","(430, 1247)",1992.4683963690447
113,"(156, 1362)","(1958, 1742)",2508.945668516521
114,"(323, 1892)","(1485, 1393)",1772.9881656286886
115,"(1851, 1004)","(1606, 645)",602.4650788387077
116,"(51, 1675)","(1379, 975)",2340.453244467359
117,"(494, 153)","(1020, 318)",669.1808075912459
118,"(184, 1058)","(285, 1074)",143.651803615609
119,"(1980, 1015)","(1144, 246)",1594.4713549618725
120,"(828, 806)","(1713, 1168)",1262.6235918533687
121,"(1010, 164)","(1811, 376)",1569.5007922133952
122,"(353, 238)","(1816, 1995)",3228.859448802924
123,"(264, 1410)","(927, 1169)",937.7930726875675
124,"(1860, 458)","(1625, 1428)",1308.3393206059068
125,"(802, 1710)","(604, 1287)",767.1879502661832
126,"(403, 613)","(95, 456)",505.3818177180219
127,"(1915, 970)","(624, 1612)",1858.159738503943
128,"(1934, 178)","(1399, 1790)",2359.914139223963
129,"(827, 1110)","(1416, 729)",1075.9595949289387
130,"(1413, 1071)","(1773, 1032)",462.1686142824253
131,"(1710, 443)","(1750, 1432)",1317.9545442950562
132,"(1215, 1802)","(1816, 370)",2319.889752606324
133,"(553, 1202)","(1155, 1362)",824.7564927611072
134,"(1076, 1723)","(783, 1229)",959.1362184380748
135,"(740, 1887)","(487, 881)",1385.4347750354123
136,"(1814, 1594)","(1509, 1693)",496.28131265463367
137,"(913, 1809)","(849, 1341)",622.6488450227814
138,"(1247, 1706)","(1502, 976)",1291.996174855399
139,"(331, 231)","(1837, 1366)",2605.612624033766
140,"(656, 1044)","(422, 508)",752.7909806465125
141,"(733, 603)","(449, 567)",390.1147904132623
142,"(113, 761)","(1944, 132)",2952.8178182426104
143,"(847, 211)","(1935, 982)",1783.4490603852873
144,"(523, 146)","(892, 599)",788.1707063234805
145,"(259, 515)","(1463, 903)",1772.9515857022286
146,"(1965, 1565)","(1033, 1890)",1330.280446102861
147,"(1211, 588)","(856, 568)",467.09754647055985
148,"(1888, 587)","(1767, 250)",442.055915910217
149,"(821, 1915)","(743, 1896)",100.78174593052015
150,"(168, 1238)","(1029, 1937)",1495.9566363361112
151,"(1633, 118)","(892, 547)",1275.0966799187875
152,"(189, 1149)","(336, 620)",706.8742417671981
153,"(789, 1192)","(1821, 526)",1709.7627688842722
154,"(257, 291)","(1796, 1335)",2713.117241391748
155,"(27, 896)","(1409, 1409)",2242.4166645409127
156,"(977, 731)","(1810, 1461)",1446.1626970967702
157,"(343, 1118)","(1074, 958)",1091.202235616058
158,"(82, 1021)","(1583, 1742)",2272.8136341605828
159,"(692, 1764)","(809, 1476)",440.65389565666385
160,"(1238, 784)","(1260, 664)",145.19595949289328
161,"(1156, 999)","(792, 516)",832.1412690719577
162,"(1713, 498)","(913, 644)",1062.2611101191035
163,"(1075, 659)","(1929, 424)",1467.2165209659331
164,"(1061, 512)","(555, 1106)",1116.7463914933423
165,"(652, 310)","(839, 33)",485.0681092190371
166,"(849, 1937)","(873, 235)",2817.5314549541195
167,"(1969, 214)","(768, 1197)",2335.298915534812
168,"(1900, 735)","(908, 1527)",2150.7648609253165
169,"(144, 674)","(980, 742)",1137.4570696119972
170,"(1989, 1539)","(305, 440)",2766.7740956412463
171,"(1241, 456)","(705, 979)",1014.1067811865524
172,"(471, 677)","(1672, 713)",1653.0571413994994
173,"(1739, 1781)","(572, 161)",3622.2168799032747
174,"(1391, 164)","(134, 1588)",3096.060458929716
175,"(520, 507)","(200, 964)",712.8031739553327
176,"(291, 316)","(531, 1194)",1314.2093782909953
177,"(419, 720)","(1170, 126)",1230.983981546579
178,"(904, 1971)","(1414, 1287)",1162.8712831743705
179,"(1035, 1899)","(737, 1513)",729.5189027078706
180,"(1357, 16)","(1508, 1529)",2159.2673862422535
181,"(415, 570)","(175, 111)",972.4499269370599
182,"(657, 562)","(1294, 713)",904.7392488184046
183,"(301, 1772)","(906, 741)",1741.4713549618723
184,"(745, 1454)","(1376, 1625)",904.7220048757019
185,"(756, 458)","(1222, 813)",809.8742417671981
186,"(1445, 592)","(101, 791)",1761.608439951721
187,"(1493, 694)","(1868, 987)",708.2884553295712
188,"(304, 482)","(965, 1308)",1374.606347910666
189,"(1350, 528)","(1485, 196)",443.0142853498744
190,"(1703, 116)","(237, 1345)",3019.9771978090394
191,"(913, 1769)","(1914, 759)",2090.0075016124406
192,"(1268, 1770)","(1390, 770)",1571.1870837144102
193,"(107, 455)","(1270, 1511)",2402.8258274693835
194,"(1929, 307)","(230, 1414)",3022.1315267415907
195,"(1496, 850)","(1230, 362)",705.6437943888988
196,"(738, 746)","(1558, 286)",1534.0155108391564
197,"(184, 1474)","(1208, 1891)",1472.7139956489916
198,"(1509, 908)","(5, 680)",2109.4095218659936
199,"(358, 561)","(21, 546)",494.1808075912455
200,"(1868, 758)","(1556, 1036)",519.536146650573
