Iteration,Start Point,End Point,Path Length
1,"(1420, 1610)","(1746, 1697)",450.8549057834405
2,"(710, 1718)","(425, 1161)",843.1828996323006
3,"(204, 1590)","(1679, 1179)",2270.7720036002393
4,"(1755, 1676)","(489, 1574)",1784.348555321899
5,"(1503, 1872)","(819, 268)",3018.2665196903913
6,"(188, 392)","(1447, 896)",2106.953677743278
7,"(78, 672)","(1223, 92)",1805.1475451951226
8,"(1911, 1240)","(141, 578)",2679.2299397639713
9,"(270, 879)","(715, 1268)",875.9108216936585
10,"(1491, 1333)","(148, 826)",1879.9881656286889
11,"(1062, 589)","(1506, 165)",1043.893577750956
12,"(1154, 499)","(910, 17)",722.631601080079
13,"(1987, 1492)","(1686, 1376)",412.22748878547065
14,"(329, 1520)","(1568, 602)",2502.323302152438
15,"(763, 1084)","(1856, 1412)",1532.5302294649182
16,"(815, 837)","(1542, 1435)",1189.1017305526698
17,"(538, 683)","(1012, 402)",738.3006486383914
18,"(1268, 160)","(1667, 449)",1021.9940828143441
19,"(1191, 1754)","(279, 1536)",1337.4469683442321
20,"(368, 491)","(1474, 23)",1660.2652942012135
21,"(1557, 891)","(692, 1260)",1622.9271990845884
22,"(313, 909)","(703, 1224)",786.2590180780486
23,"(66, 243)","(1136, 173)",1445.3077913133288
24,"(2, 1056)","(1302, 1849)",2051.4805896778644
25,"(360, 1845)","(484, 1617)",362.5584412271583
26,"(1630, 995)","(1826, 520)",663.0041840821093
27,"(238, 1066)","(1935, 1786)",2478.0045430195687
28,"(1853, 579)","(597, 1562)",2431.127342659548
29,"(1637, 1371)","(1797, 1849)",647.9625535217663
30,"(1612, 882)","(1082, 1728)",1593.2287142747532
31,"(1695, 305)","(717, 413)",1431.8317446550827
32,"(1699, 1873)","(1518, 1643)",395.5411972844556
33,"(1272, 862)","(1392, 812)",188.35028842544438
34,"(268, 929)","(193, 182)",985.7686860699273
35,"(1781, 1843)","(639, 630)",2436.624817342605
36,"(50, 550)","(286, 1921)",1713.7190462828746
37,"(1121, 499)","(990, 1117)",838.4427842621225
38,"(1481, 134)","(1963, 871)",1480.6896090313517
39,"(1902, 332)","(608, 496)",1810.3485553218989
40,"(71, 1063)","(844, 836)",1235.623591853369
41,"(850, 560)","(959, 1382)",1341.770778110982
42,"(1174, 597)","(833, 1021)",676.4183976444821
43,"(1766, 1350)","(378, 1407)",1853.1475451951226
44,"(655, 544)","(130, 755)",731.8448045156754
45,"(1973, 579)","(531, 1511)",2633.004543019551
46,"(249, 467)","(123, 1573)",1356.930157677416
47,"(1305, 220)","(1940, 350)",1272.297690045564
48,"(383, 476)","(1460, 381)",1557.3119753954386
49,"(1010, 1085)","(1776, 194)",1516.2875887777984
50,"(1119, 251)","(442, 1090)",1455.748483534397
51,"(1122, 90)","(59, 1297)",2215.527270872073
52,"(817, 1193)","(728, 930)",408.8010819142775
53,"(1724, 1187)","(1795, 1326)",198.00714267493666
54,"(135, 1538)","(997, 691)",1592.4713549618725
55,"(1947, 34)","(1465, 340)",683.8691911333152
56,"(31, 651)","(1790, 291)",2792.496967068714
57,"(326, 174)","(165, 221)",217.1198410471449
58,"(117, 1520)","(1249, 1381)",1606.0520907656169
59,"(1589, 1743)","(1467, 1387)",478.3818177180218
60,"(717, 1144)","(1437, 539)",1366.1799410394729
61,"(478, 1266)","(1546, 1883)",1623.5079348883326
62,"(745, 556)","(1201, 1435)",1373.2854967367437
63,"(1908, 1157)","(1513, 141)",1582.1870837144102
64,"(1545, 77)","(1797, 1149)",1591.9911242215169
65,"(1211, 1378)","(572, 338)",2446.458295101235
66,"(958, 1048)","(1063, 480)",726.4183976444823
67,"(1851, 215)","(416, 1183)",2450.926332532772
68,"(1454, 1333)","(798, 601)",1313.7413408594596
69,"(840, 674)","(802, 857)",282.6467529817264
70,"(154, 1334)","(179, 1167)",229.4629867976525
71,"(253, 265)","(895, 1225)",1519.6723650886488
72,"(1801, 1044)","(1352, 628)",769.9158723275408
73,"(1118, 1288)","(386, 49)",2535.269478283268
74,"(742, 169)","(878, 1434)",2297.990257669717
75,"(297, 1278)","(1143, 1235)",1559.282538143916
76,"(621, 1856)","(309, 541)",1725.4419177103498
77,"(1310, 1422)","(327, 345)",1980.7749621930923
78,"(1529, 1766)","(627, 311)",2858.4481938334243
79,"(735, 567)","(1336, 689)",806.8275605729727
80,"(502, 772)","(217, 1369)",806.9575028878837
81,"(1490, 1478)","(1059, 1294)",602.3351365237966
82,"(425, 875)","(969, 168)",1138.7169542418194
83,"(812, 1116)","(1537, 1805)",1401.7068529740543
84,"(1418, 1403)","(90, 1383)",1954.9242404917609
85,"(59, 1644)","(75, 1204)",554.0386719675146
86,"(331, 1269)","(1514, 142)",2427.8430714120914
87,"(135, 1872)","(319, 496)",1885.3952365161247
88,"(599, 1533)","(154, 577)",1366.6997102991168
89,"(1858, 1042)","(879, 327)",1958.5150775632703
90,"(1287, 130)","(1710, 985)",1382.5108934811608
91,"(1701, 81)","(1461, 766)",898.283404695689
92,"(1831, 1454)","(543, 184)",2952.041122945989
93,"(406, 1550)","(1515, 1973)",1658.0815280171398
94,"(1171, 1804)","(1901, 957)",1805.792206135795
95,"(56, 1580)","(1975, 1685)",2645.9406178826207
96,"(923, 1598)","(1305, 1768)",602.3056992722738
97,"(504, 61)","(107, 1581)",1955.1475451951223
98,"(202, 1316)","(1438, 1242)",1782.5150775632703
99,"(1388, 635)","(1304, 190)",601.8082245892151
100,"(1344, 196)","(35, 1245)",2632.754759657505
101,"(1690, 249)","(11, 1653)",3181.298048982941
102,"(1951, 1939)","(75, 807)",3246.2564184226017
103,"(1652, 1119)","(86, 1486)",2162.4755390439695
104,"(278, 1209)","(1996, 295)",2733.5974721321068
105,"(1053, 1235)","(1620, 1112)",766.614357137376
106,"(181, 1182)","(443, 120)",1722.2093782909958
107,"(1568, 128)","(1408, 1594)",1934.7505755754528
108,"(446, 405)","(777, 602)",478.52395334175293
109,"(56, 1178)","(1838, 691)",2508.288814267029
110,"(1649, 570)","(900, 163)",1217.800215362505
111,"(228, 1008)","(231, 50)",1377.812408671325
112,"(1130, 1604)","(48, 868)",1964.1719318127628
113,"(952, 1156)","(954, 904)",323.0609665440996
114,"(1284, 1142)","(310, 1880)",1779.8876605653006
115,"(1786, 701)","(815, 1149)",2176.108006675821
116,"(1588, 933)","(651, 1434)",1442.4591616530524
117,"(358, 1003)","(845, 1862)",1273.4987001723402
