Iteration,Start Point,End Point,Path Length
1,"(1176, 1350)","(12, 1912)",1976.2379489907457
2,"(493, 804)","(1964, 1924)",2449.997400344636
3,"(708, 1763)","(555, 1024)",988.8225099390901
4,"(775, 1179)","(766, 820)",545.796031280395
5,"(1735, 99)","(547, 1256)",2561.3354954612437
6,"(955, 1217)","(1731, 384)",1506.204327657113
7,"(540, 1429)","(1049, 1745)",868.6093065034936
8,"(47, 812)","(876, 1333)",1523.689609031352
9,"(63, 722)","(938, 1341)",1574.7434329005148
10,"(172, 1958)","(1929, 995)",2828.8523061280293
11,"(1558, 585)","(1425, 1094)",1026.5626253092682
12,"(1745, 1550)","(287, 877)",2083.237948990742
13,"(1293, 1642)","(372, 846)",1632.4124804588273
14,"(414, 1573)","(1146, 171)",2848.6685399439607
15,"(1200, 386)","(51, 194)",1745.868324581543
16,"(1161, 1494)","(158, 512)",1881.365799264602
17,"(1236, 794)","(654, 730)",819.526045382808
18,"(1332, 752)","(1341, 1518)",1032.4915574974027
19,"(1819, 1187)","(444, 677)",2153.120199984644
20,"(1011, 387)","(1648, 441)",1139.1606050557152
21,"(834, 561)","(1891, 1806)",2335.659305228026
22,"(1820, 625)","(1612, 251)",521.3523804664992
23,"(441, 127)","(611, 1732)",2240.392277923276
24,"(730, 964)","(889, 1366)",554.2935059634538
25,"(1925, 831)","(587, 176)",2120.3851352483507
26,"(63, 1926)","(436, 1808)",538.1930009000655
27,"(920, 624)","(1836, 487)",1494.4885989045752
28,"(1383, 454)","(1099, 1361)",1333.5525240415031
29,"(463, 1904)","(1466, 446)",2480.7253224059964
30,"(580, 1219)","(926, 477)",1086.3616151824917
31,"(160, 973)","(594, 498)",818.8275605729727
32,"(508, 1046)","(213, 1644)",866.7270555095844
33,"(579, 1599)","(1231, 1386)",934.8347032479102
34,"(637, 995)","(1153, 640)",877.0529573173894
35,"(984, 401)","(113, 590)",1223.398195108952
36,"(1704, 5)","(1096, 1576)",2148.5272708720813
37,"(815, 1445)","(1229, 1464)",610.7615433949899
38,"(1064, 1892)","(892, 133)",2671.252234340553
39,"(344, 786)","(1619, 14)",2075.764860925323
40,"(1642, 860)","(1981, 1574)",976.6925676241791
41,"(1813, 1692)","(1120, 1664)",979.9646455628214
42,"(1890, 64)","(1817, 1881)",2324.2034611053086
43,"(1913, 419)","(96, 929)",2515.168973219881
44,"(558, 1231)","(475, 237)",1469.9373003523535
45,"(655, 185)","(847, 1468)",1675.5251788310352
46,"(1799, 801)","(479, 1537)",2801.6979771954843
47,"(753, 514)","(1416, 277)",1035.3738084913118
48,"(1626, 1259)","(659, 1395)",1348.606347910666
49,"(1766, 750)","(1076, 876)",1502.8855685242454
50,"(418, 1603)","(728, 866)",1000.7514421272245
51,"(1908, 1110)","(155, 1723)",2565.3720753876983
52,"(60, 296)","(258, 724)",703.0163773909292
53,"(321, 1352)","(1582, 496)",2073.4217151748167
54,"(1932, 1426)","(1839, 820)",849.8397538817928
55,"(524, 1219)","(354, 975)",380.17366491630787
56,"(151, 233)","(1358, 600)",1616.6946596652344
57,"(26, 419)","(544, 1955)",2005.7800128269753
58,"(1976, 923)","(1650, 1002)",462.31074990615645
59,"(89, 1310)","(1004, 363)",1922.1891757554654
60,"(1715, 744)","(389, 657)",1764.5546160825584
61,"(806, 12)","(431, 515)",795.9108216936581
62,"(1480, 1054)","(282, 1794)",1946.6399692442985
63,"(1457, 1644)","(193, 921)",1904.7871555019124
64,"(1505, 1966)","(1479, 803)",2145.7059864222674
65,"(437, 460)","(1804, 1020)",1937.8998538741205
