Iteration,Start Point,End Point,Path Length
143,"(1227, 838)","(1000, 405)",0
144,"(1712, 1594)","(129, 1066)",0
145,"(1631, 1057)","(1042, 961)",0
146,"(408, 1014)","(1351, 504)",0
147,"(531, 1845)","(259, 728)",1582.3880938411871
148,"(968, 251)","(1078, 1021)",0
149,"(1605, 1535)","(1071, 401)",0
150,"(645, 1720)","(1603, 680)",0
151,"(5, 530)","(1744, 640)",0
152,"(1302, 758)","(1850, 1517)",0
153,"(1993, 1864)","(1052, 358)",0
154,"(1908, 663)","(281, 1781)",0
155,"(1126, 1214)","(100, 1781)",0
156,"(839, 1808)","(830, 1470)",0
157,"(345, 180)","(814, 529)",0
158,"(578, 1533)","(283, 1173)",0
159,"(776, 1948)","(1357, 567)",1923.662263820884
160,"(4, 1249)","(627, 1011)",0
161,"(1721, 488)","(1440, 33)",0
162,"(1390, 1985)","(223, 201)",0
163,"(824, 854)","(1588, 1363)",0
164,"(1178, 650)","(1010, 428)",0
165,"(688, 325)","(277, 392)",0
166,"(178, 868)","(1485, 682)",0
167,"(1153, 1981)","(1572, 18)",0
168,"(492, 1732)","(578, 1930)",0
169,"(655, 1857)","(879, 1524)",0
170,"(1200, 406)","(1186, 445)",0
171,"(414, 318)","(1794, 1738)",0
172,"(594, 55)","(1827, 703)",0
173,"(1742, 1767)","(750, 1675)",0
174,"(773, 505)","(959, 849)",0
175,"(219, 1814)","(815, 125)",2752.8502140869973
176,"(172, 945)","(1174, 700)",0
177,"(175, 881)","(1372, 648)",3402.557933612754
178,"(783, 111)","(522, 1636)",0
179,"(54, 571)","(121, 1372)",1018.4549775709427
180,"(1984, 1763)","(1266, 758)",0
181,"(1739, 1183)","(1148, 1274)",0
182,"(154, 580)","(355, 363)",561.8965363437833
183,"(988, 1391)","(1716, 432)",0
184,"(1482, 1984)","(737, 43)",0
185,"(1969, 959)","(1617, 1991)",1582.2926394116814
186,"(1502, 820)","(1259, 721)",0
187,"(272, 885)","(1261, 1290)",0
188,"(976, 262)","(819, 617)",0
189,"(1307, 385)","(90, 514)",0
190,"(924, 128)","(102, 1820)",2879.240041031711
191,"(248, 371)","(1068, 1468)",3208.687875927676
192,"(290, 757)","(1813, 1111)",0
193,"(1814, 143)","(1194, 518)",0
194,"(1413, 41)","(1305, 174)",6686.049850047849
195,"(51, 63)","(1507, 1424)",0
196,"(1863, 1130)","(57, 1431)",0
197,"(180, 1103)","(1539, 591)",3342.830011551404
198,"(799, 52)","(1222, 1536)",0
199,"(225, 435)","(1380, 1935)",3709.48895784191
200,"(927, 115)","(804, 1718)",0
