Iteration,Start Point,End Point,Path Length
1,"(476, 1851)","(1230, 1845)",1192.12611717031
2,"(40, 1891)","(1603, 1360)",2203.049132172772
3,"(105, 877)","(1512, 1760)",2538.5365055880266
4,"(1032, 449)","(1129, 1320)",1250.3027406794463
5,"(1863, 94)","(121, 724)",3427.025971044286
6,"(627, 454)","(978, 1822)",2593.62986797648
7,"(903, 306)","(1019, 1562)",1891.8805178903633
8,"(1774, 924)","(694, 41)",2512.8014408517497
9,"(961, 725)","(1140, 1802)",1481.9251070435334
10,"(1795, 1683)","(371, 1246)",2341.997400344647
11,"(1313, 757)","(1349, 232)",755.5310960166908
12,"(1209, 474)","(959, 1949)",1971.3069247615563
13,"(842, 417)","(483, 359)",599.7077195258267
14,"(45, 346)","(1820, 1245)",3552.048265620851
15,"(1596, 665)","(794, 171)",1506.9789309126963
16,"(1785, 138)","(1830, 1096)",1377.5941546018462
17,"(863, 1016)","(499, 1160)",557.7960312803951
18,"(208, 1176)","(1436, 1298)",2141.333403420241
19,"(1180, 1714)","(767, 1871)",651.3595231414366
20,"(1756, 936)","(447, 1128)",2818.3304448273398
21,"(447, 737)","(1681, 1364)",3078.729506488034
22,"(761, 768)","(1078, 1223)",721.6194077712589
23,"(1060, 1214)","(913, 939)",409.9726547895314
24,"(170, 1329)","(1218, 1187)",2072.5222202382056
25,"(1851, 454)","(513, 1569)",2824.7984822588687
26,"(665, 1495)","(1023, 62)",2827.703027829366
27,"(278, 641)","(1552, 226)",1810.3191180703764
28,"(1425, 929)","(1690, 1491)",1206.658079738774
29,"(1157, 839)","(579, 1803)",1594.8195513462626
30,"(1142, 1133)","(1465, 329)",1100.0062761231638
31,"(1617, 770)","(1747, 1718)",1658.0987719598422
32,"(1613, 1442)","(1008, 891)",1400.8712831743705
33,"(271, 1622)","(1233, 1134)",1793.8460300049578
34,"(1772, 1956)","(178, 401)",4479.49314192403
35,"(1585, 541)","(1086, 1864)",1967.5028842544502
36,"(660, 455)","(414, 1791)",1968.7333316327495
37,"(708, 1240)","(1628, 976)",0
38,"(1501, 1671)","(1901, 418)",1714.880517890363
39,"(861, 1372)","(1933, 827)",2235.5983386839384
40,"(893, 1971)","(1176, 1878)",380.1147904132625
41,"(871, 147)","(776, 1070)",1380.7951647286225
42,"(1942, 1059)","(1412, 1960)",1421.736290225577
43,"(1306, 1132)","(1216, 1089)",392.043722601397
44,"(1994, 598)","(1430, 1638)",1627.6551211459464
45,"(1232, 789)","(1661, 571)",0
46,"(1940, 888)","(1923, 1294)",551.3645737753193
47,"(1566, 1814)","(149, 724)",2688.8329701443035
48,"(1729, 133)","(626, 1859)",2742.330444827342
49,"(308, 139)","(162, 407)",350.9432175380085
50,"(1779, 323)","(507, 492)",2296.215654414131
51,"(1564, 1064)","(965, 415)",0
52,"(93, 390)","(1391, 1122)",0
53,"(1846, 982)","(103, 193)",3323.3203435595424
54,"(210, 1201)","(1172, 626)",2079.6988437473406
55,"(241, 99)","(128, 948)",1177.9352083112988
56,"(918, 1635)","(1764, 44)",2387.5049762954695
57,"(188, 460)","(1574, 511)",2335.730373039889
58,"(420, 583)","(656, 687)",355.2447327281734
59,"(776, 548)","(1698, 1237)",2429.5882374161433
60,"(1637, 333)","(889, 924)",1474.3048327205013
61,"(1416, 219)","(1180, 394)",430.61226509632115
62,"(1852, 1898)","(1806, 1695)",263.6761902332492
63,"(1878, 1306)","(1218, 1058)",1470.9373003523535
64,"(1796, 1955)","(133, 1448)",2364.4532444673578
65,"(382, 751)","(1621, 370)",2310.1445866022627
66,"(1521, 1972)","(215, 1880)",1879.7871555019121
67,"(1233, 1519)","(1089, 863)",1016.9402589451812
68,"(946, 1538)","(1210, 591)",1412.0966799187872
69,"(1920, 189)","(423, 1082)",2552.29386490091
70,"(127, 140)","(579, 79)",511.39191898578724
71,"(867, 396)","(183, 1533)",1812.3536059557816
72,"(126, 514)","(1752, 864)",2879.2543263815846
73,"(1831, 584)","(964, 1203)",1789.3952365161244
74,"(1498, 733)","(165, 1856)",0
75,"(628, 137)","(799, 1549)",3186.888886054459
76,"(206, 1476)","(1602, 173)",3236.244225113788
77,"(33, 452)","(1965, 115)",3460.261469056448
78,"(831, 666)","(425, 612)",551.7544007200524
79,"(349, 1307)","(1141, 613)",0
80,"(1335, 13)","(1927, 65)",1834.4663043279904
81,"(1840, 645)","(9, 1787)",3462.819910283608
82,"(1485, 976)","(675, 1803)",1596.5129855222153
83,"(1625, 907)","(845, 603)",1408.3515139147269
84,"(1573, 1634)","(159, 1184)",2345.9435764754853
85,"(1807, 435)","(481, 1684)",2747.7030278293737
86,"(1392, 1922)","(1154, 179)",2688.5486988968305
87,"(1906, 583)","(1498, 436)",536.6955262170068
88,"(1637, 961)","(1930, 119)",0
89,"(624, 1567)","(1535, 1682)",1392.8195513462626
90,"(1660, 530)","(305, 1484)",2866.455336508358
91,"(1147, 415)","(1582, 924)",1261.5992052357285
92,"(918, 1611)","(1283, 1834)",603.5777772109159
93,"(294, 1213)","(599, 1131)",607.6904755831243
94,"(415, 122)","(1811, 1363)",3060.71522113816
95,"(1520, 1358)","(374, 1237)",2010.7110370561643
96,"(1113, 536)","(1324, 886)",602.5361466505731
97,"(572, 1239)","(757, 804)",576.0386719675142
98,"(1840, 1495)","(43, 948)",2849.237082438879
99,"(694, 328)","(651, 1906)",2505.0024509785135
100,"(685, 1196)","(583, 380)",1124.0184694319842
101,"(436, 870)","(926, 626)",827.6854249492416
102,"(1927, 303)","(1302, 1543)",2386.884701972434
103,"(869, 1006)","(1689, 687)",1357.6530291048914
104,"(49, 1154)","(1137, 1119)",2401.997400344647
105,"(1126, 416)","(1762, 285)",1108.959594928939
106,"(1503, 1932)","(20, 1865)",2135.7770542341373
107,"(86, 1546)","(1663, 22)",3589.589462905318
108,"(1090, 38)","(1435, 778)",1248.8418459228478
109,"(1848, 332)","(753, 299)",1954.8998538741207
110,"(1172, 1338)","(59, 1681)",1817.1353518863027
111,"(1876, 153)","(1845, 1765)",2156.853172679882
112,"(727, 1797)","(1643, 332)",2308.7770542341163
113,"(267, 618)","(1638, 1445)",3045.9061299971736
114,"(1342, 303)","(1724, 1546)",2648.1222920256437
115,"(1622, 571)","(1073, 394)",936.2539674441659
116,"(1816, 1721)","(788, 1998)",1410.505842847278
117,"(1552, 1310)","(1866, 1972)",993.3494218736716
118,"(1091, 415)","(543, 593)",914.538238691628
119,"(246, 313)","(342, 1638)",1713.80230740356
120,"(1236, 1124)","(1800, 1723)",1625.8855685242459
121,"(1846, 111)","(560, 383)",2419.1567799110735
122,"(1523, 1928)","(724, 1192)",1470.4469683442323
123,"(1026, 143)","(877, 1746)",2580.0095936534412
124,"(1988, 977)","(577, 1433)",2149.137443927347
125,"(1376, 203)","(444, 331)",1313.8590898655505
126,"(1460, 1904)","(1880, 939)",1477.4591616530524
127,"(1205, 1473)","(1258, 739)",988.1412690719579
128,"(709, 911)","(1498, 1185)",1486.6479784710089
129,"(1099, 159)","(333, 676)",1161.628642487251
130,"(420, 247)","(1062, 1396)",2872.8989873222577
131,"(968, 1952)","(932, 366)",2341.7181797310664
132,"(174, 1484)","(1509, 775)",3105.8056249337874
133,"(1605, 1228)","(498, 1110)",1788.7627688842722
134,"(728, 22)","(811, 1359)",1886.8754672564803
135,"(1331, 1759)","(1817, 1497)",921.0235200658667
136,"(201, 1835)","(99, 965)",1138.9474016201186
137,"(832, 1587)","(439, 433)",1619.400287150007
138,"(406, 1670)","(1476, 807)",2883.2421330727684
139,"(1391, 889)","(710, 951)",0
140,"(1311, 1750)","(757, 357)",3006.999492385635
141,"(509, 1880)","(642, 748)",0
142,"(513, 232)","(113, 939)",1010.7514421272248
143,"(1828, 426)","(145, 1101)",3547.8859274615784
144,"(1638, 1250)","(93, 1751)",2202.16183054498
145,"(888, 747)","(1262, 1813)",1662.3759005323668
146,"(12, 155)","(663, 148)",824.3574311003817
147,"(215, 1007)","(989, 226)",1401.5352800988005
148,"(1523, 917)","(482, 1885)",1977.3556979968366
149,"(1099, 1309)","(913, 950)",526.2691193458138
150,"(1252, 416)","(1131, 280)",283.575685169861
151,"(207, 549)","(278, 1772)",1524.3687578574295
