Iteration,Start Point,End Point,Path Length
1,"(464, 998)","(931, 260)",1096.9768388716413
2,"(492, 688)","(271, 1668)",1402.4814562296376
3,"(287, 987)","(1968, 541)",2439.0095936534517
4,"(1992, 1899)","(1031, 519)",2815.78628895006
5,"(1323, 88)","(1694, 1172)",1663.2581515262764
6,"(376, 1340)","(1293, 1906)",1572.9566363361112
7,"(953, 59)","(263, 1403)",2129.870416622587
8,"(1774, 1540)","(1240, 1526)",764.1290757631374
9,"(543, 40)","(1691, 1224)",2201.835928737174
10,"(602, 1687)","(1711, 1839)",1533.9271990845884
11,"(1568, 1748)","(1132, 53)",2437.9313831666527
12,"(1500, 1305)","(1907, 691)",919.6214998123137
13,"(1281, 1011)","(942, 787)",561.7077195258269
14,"(914, 782)","(1536, 1393)",1135.6458864299539
15,"(331, 894)","(1165, 310)",1408.6774157225316
16,"(1532, 629)","(974, 475)",805.0996385116148
17,"(1157, 1379)","(1913, 430)",1881.1475451951226
18,"(1137, 1671)","(305, 737)",1748.064284074437
19,"(322, 96)","(718, 1414)",1992.15468787006
20,"(1058, 1100)","(1910, 84)",1954.674457129704
21,"(1620, 1645)","(1736, 1556)",185.69343417595192
22,"(731, 734)","(1137, 343)",699.8326112068554
23,"(417, 379)","(529, 58)",526.5533905932758
24,"(439, 1182)","(10, 1941)",1107.3910524340147
25,"(837, 786)","(1515, 1716)",1537.1454531540676
26,"(1002, 1316)","(241, 1928)",1458.0033175303365
27,"(1398, 1609)","(1338, 1603)",82.81118318204301
28,"(1944, 626)","(828, 1915)",2578.004543019558
29,"(358, 1883)","(1411, 1104)",1888.7577182503894
30,"(1312, 1011)","(257, 369)",2327.0196949212345
31,"(1830, 1982)","(309, 1446)",2288.1567799110853
32,"(1634, 800)","(1276, 1057)",696.76154339499
33,"(47, 31)","(1669, 1328)",2820.4166645408473
34,"(1568, 961)","(1200, 433)",881.6681810065392
35,"(706, 781)","(1289, 173)",1131.1017305526698
36,"(1591, 775)","(1534, 928)",238.04877323527953
37,"(112, 1446)","(230, 182)",1621.0033175303365
38,"(816, 1163)","(1176, 1075)",506.666088965484
39,"(179, 1883)","(655, 1688)",707.472221513645
40,"(541, 240)","(395, 122)",279.60512242138356
41,"(1068, 787)","(1206, 813)",229.22034611053323
42,"(1, 348)","(473, 111)",713.8254685319177
43,"(1313, 930)","(1066, 1978)",1411.2093782909956
44,"(1316, 1670)","(1826, 1928)",729.8864350760181
45,"(338, 125)","(1417, 1897)",3133.1588719520523
46,"(57, 860)","(1122, 599)",2092.296823493786
47,"(1046, 1237)","(1210, 1757)",889.6093065034936
48,"(319, 516)","(1243, 1848)",2284.5466068558208
49,"(12, 1303)","(18, 1381)",115.19595949289322
50,"(54, 93)","(1419, 1533)",2991.3111088435603
51,"(999, 1801)","(40, 516)",2092.473447002922
52,"(1729, 621)","(1061, 476)",948.6925676241793
53,"(1860, 1174)","(1784, 544)",903.9524522540012
54,"(1110, 1604)","(227, 733)",1712.8927111991832
