Iteration,Start Point,End Point,Path Length
1,"(1526, 1639)","(402, 1640)",1531.968829644931
2,"(681, 832)","(507, 116)",1201.5331880577455
3,"(1367, 723)","(1535, 1251)",907.5088014401053
4,"(1598, 1436)","(1668, 1441)",88.63961030678921
5,"(559, 975)","(676, 1971)",1275.344371239789
6,"(124, 1716)","(1084, 914)",1619.9393923934085
7,"(678, 1356)","(1160, 399)",1937.3313113791964
8,"(1668, 1817)","(695, 1687)",1362.062192033382
9,"(344, 370)","(1711, 1869)",3014.273662365315
10,"(39, 400)","(928, 1488)",2010.8876605653008
11,"(1276, 724)","(1705, 166)",854.3666658163745
12,"(1048, 831)","(1176, 43)",1038.6803743153591
13,"(345, 1503)","(1176, 1320)",1270.1088732276073
14,"(1252, 1693)","(667, 1362)",887.2661607529861
15,"(1086, 1869)","(1706, 978)",1666.4713549618727
16,"(911, 1473)","(1003, 1308)",231.91883092036844
17,"(642, 1218)","(1353, 698)",1281.410388417772
18,"(1300, 1426)","(360, 889)",1434.4469683442323
19,"(310, 182)","(1718, 1337)",2447.8653659886736
20,"(365, 156)","(884, 1887)",2518.110098716835
21,"(1002, 1585)","(918, 705)",1249.5575746753857
22,"(1737, 554)","(1011, 797)",1033.9890321804614
23,"(265, 344)","(1815, 790)",2375.8847019724367
24,"(538, 949)","(444, 680)",343.27416997969607
25,"(1819, 560)","(946, 450)",1193.8712831743708
26,"(1012, 1582)","(1036, 124)",2237.534413547005
27,"(1407, 1930)","(1676, 832)",2041.196318430403
28,"(1463, 455)","(1935, 335)",691.1585130146603
29,"(34, 873)","(776, 1850)",1685.2409075835733
30,"(211, 1278)","(1667, 157)",3153.540689670069
31,"(603, 390)","(162, 1560)",1667.1332598452475
32,"(930, 240)","(1417, 330)",717.330085889914
33,"(261, 180)","(1613, 940)",2056.5668093913782
34,"(1051, 408)","(649, 1663)",2256.5932880500523
35,"(758, 1441)","(1939, 1341)",1647.5079348883328
36,"(937, 704)","(1858, 95)",1716.6256838944234
37,"(1897, 444)","(574, 1293)",2415.8258274693844
38,"(95, 150)","(1179, 152)",1347.3250352560317
39,"(607, 1299)","(1030, 638)",1034.319984622149
40,"(1643, 1429)","(1464, 990)",615.3351365237966
41,"(366, 1683)","(817, 952)",1144.4865068635202
42,"(647, 136)","(454, 1520)",1853.7922061357947
43,"(824, 457)","(1955, 414)",1830.8754672564803
44,"(67, 1758)","(1704, 193)",3351.5183950934565
45,"(686, 778)","(1808, 896)",1759.5962466429012
46,"(1813, 1014)","(1694, 1674)",858.5260453828079
