Iteration,Start Point,End Point,Path Length
1,"(336, 339)","(1838, 893)",2407.8847019724335
2,"(107, 1551)","(543, 1721)",670.3889603929593
3,"(1236, 689)","(648, 161)",1139.7930726875677
4,"(649, 1008)","(1402, 1101)",977.4499269370601
5,"(1856, 991)","(1659, 1712)",938.0945878777321
6,"(1166, 378)","(696, 401)",688.7615433949898
7,"(483, 1780)","(1117, 506)",2547.264427649382
8,"(846, 1116)","(1360, 123)",1788.7211383239294
9,"(1074, 77)","(1045, 46)",43.84062043356594
10,"(1842, 979)","(117, 1632)",2421.6664479029537
11,"(1736, 1635)","(1379, 1442)",490.381817718022
12,"(1246, 596)","(145, 1221)",1722.5840533340809
13,"(361, 978)","(868, 1183)",674.4894654563477
14,"(1464, 1851)","(1470, 594)",2045.8998538741207
15,"(278, 1524)","(1374, 292)",2813.8817433795602
16,"(1144, 1366)","(317, 783)",1287.13831047913
17,"(1032, 90)","(675, 775)",1174.4448763031774
18,"(1913, 961)","(1064, 238)",1676.9515857022286
19,"(1093, 1922)","(1618, 1452)",915.5798692519709
20,"(405, 454)","(1791, 1727)",2669.7791462751325
21,"(1433, 1091)","(491, 415)",2132.899853874111
22,"(1387, 801)","(711, 132)",1367.8540392316681
23,"(831, 153)","(24, 1807)",2485.1029560419033
24,"(1846, 1971)","(680, 1546)",1649.2236636408704
25,"(149, 1555)","(818, 17)",2086.4440097514
26,"(288, 1891)","(1326, 1243)",1706.3069247615563
27,"(899, 1046)","(1605, 1778)",1427.3637072235467
28,"(1857, 841)","(1619, 552)",637.7493500861697
29,"(1632, 1946)","(22, 439)",3042.8228688764993
30,"(29, 131)","(1414, 1783)",3329.4847737598325
31,"(474, 859)","(1617, 1549)",1748.5790027001983
32,"(599, 117)","(842, 1994)",2600.1933598375163
33,"(326, 1827)","(448, 495)",1734.6845583974691
34,"(1024, 1229)","(124, 1275)",1335.5819612930259
35,"(894, 1967)","(453, 1112)",1414.5769106591433
36,"(1961, 1832)","(1523, 109)",2491.5293629131006
37,"(424, 169)","(693, 704)",779.9280656363611
38,"(1994, 1023)","(320, 898)",2660.850214087002
39,"(1900, 430)","(319, 561)",2079.184125121579
40,"(1068, 1806)","(614, 984)",1375.3809511662496
41,"(1912, 57)","(842, 1448)",2349.085712099215
42,"(888, 1342)","(134, 1918)",1491.9150057757683
43,"(323, 1906)","(39, 516)",1793.0937213259595
44,"(1983, 1943)","(84, 514)",3325.5284963612426
45,"(1807, 1991)","(1758, 97)",2463.5466068558117
46,"(230, 513)","(1922, 1414)",2681.6025227659907
47,"(370, 1096)","(1089, 1787)",1372.6774157225316
48,"(1446, 315)","(628, 727)",1278.72914755064
49,"(786, 1203)","(1654, 650)",1524.4885989045752
50,"(149, 874)","(226, 1490)",786.5777772109159
51,"(1452, 1557)","(1695, 1523)",314.64675298172665
52,"(940, 268)","(287, 182)",908.3250352560314
53,"(287, 1924)","(396, 333)",2163.0836200581793
54,"(316, 1080)","(880, 553)",974.6925676241792
55,"(608, 85)","(184, 1626)",2087.4318164425817
56,"(199, 362)","(632, 81)",812.6072144624384
57,"(171, 628)","(825, 198)",1107.699710299117
58,"(231, 361)","(1709, 629)",2101.2501422995574
59,"(1074, 1141)","(521, 1277)",770.7859300126299
60,"(732, 1004)","(1736, 196)",1722.3485553218993
61,"(849, 707)","(1964, 89)",1970.284630184971
62,"(1479, 929)","(1563, 59)",1096.8641404994328
