Iteration,Start Point,End Point,Path Length
1,"(1105, 379)","(1299, 80)",0
2,"(1059, 1628)","(881, 508)",0
3,"(1000, 905)","(646, 1713)",0
4,"(849, 1147)","(327, 466)",0
5,"(918, 570)","(1068, 887)",0
6,"(1067, 498)","(1057, 1561)",0
7,"(1621, 1872)","(1254, 1882)",0
8,"(358, 896)","(1982, 468)",0
9,"(517, 1996)","(1723, 1345)",0
10,"(162, 697)","(518, 1537)",0
11,"(1983, 151)","(460, 1871)",0
12,"(182, 1656)","(1113, 950)",0
13,"(377, 802)","(1245, 156)",0
14,"(857, 337)","(238, 1288)",0
15,"(929, 450)","(1402, 815)",0
16,"(624, 1583)","(1766, 623)",0
17,"(425, 1496)","(1403, 674)",0
18,"(419, 923)","(1662, 1824)",0
19,"(861, 354)","(1164, 1271)",0
20,"(1521, 1381)","(1146, 1678)",0
21,"(851, 1820)","(1899, 1640)",0
22,"(556, 26)","(729, 1347)",0
23,"(967, 1251)","(214, 1238)",0
24,"(306, 572)","(488, 1879)",0
25,"(1293, 620)","(1561, 1752)",0
26,"(1465, 1907)","(1719, 935)",0
27,"(1864, 902)","(587, 1618)",0
28,"(509, 1452)","(1233, 822)",0
29,"(988, 486)","(1817, 1392)",0
30,"(1815, 799)","(712, 756)",0
31,"(119, 817)","(1912, 1910)",0
32,"(3, 536)","(812, 419)",0
33,"(1836, 356)","(998, 998)",0
34,"(395, 281)","(633, 1638)",0
35,"(724, 1833)","(75, 1292)",0
36,"(1630, 1307)","(1776, 144)",0
37,"(1664, 1862)","(1364, 153)",0
38,"(1623, 1083)","(1209, 180)",0
39,"(243, 1929)","(1955, 1179)",0
40,"(1218, 480)","(1711, 506)",0
41,"(1324, 460)","(1966, 1043)",0
42,"(833, 1583)","(359, 771)",0
43,"(1312, 1571)","(936, 872)",0
44,"(900, 1025)","(69, 566)",0
45,"(613, 81)","(511, 1497)",0
46,"(1338, 1217)","(855, 390)",0
47,"(1226, 77)","(308, 1519)",0
48,"(1388, 305)","(1988, 74)",0
49,"(865, 1880)","(1289, 1401)",0
50,"(1531, 1816)","(1778, 1082)",0
51,"(1857, 334)","(516, 1745)",0
52,"(1892, 1427)","(1688, 791)",0
53,"(185, 1827)","(1948, 210)",0
54,"(343, 970)","(717, 1757)",0
55,"(1484, 411)","(1366, 1463)",0
56,"(1365, 1712)","(730, 1114)",0
57,"(1959, 1256)","(328, 1558)",0
58,"(1353, 65)","(492, 580)",0
59,"(168, 271)","(408, 897)",0
60,"(1253, 743)","(1201, 1524)",0
61,"(661, 1184)","(186, 231)",0
62,"(306, 1853)","(420, 78)",0
63,"(383, 1323)","(1555, 1572)",0
64,"(1226, 1113)","(106, 1307)",0
65,"(1818, 439)","(1233, 222)",0
66,"(229, 1119)","(967, 1643)",0
67,"(1123, 94)","(184, 1346)",0
68,"(166, 1717)","(1645, 937)",0
69,"(153, 492)","(894, 1478)",0
70,"(1627, 669)","(1901, 1861)",0
71,"(6, 115)","(885, 1760)",0
72,"(37, 123)","(435, 743)",0
73,"(631, 988)","(945, 682)",0
74,"(91, 485)","(102, 1186)",0
75,"(1030, 949)","(1360, 1617)",0
76,"(678, 86)","(1466, 550)",0
77,"(1832, 1941)","(1250, 1669)",0
78,"(140, 84)","(352, 1170)",0
79,"(71, 475)","(1408, 940)",0
80,"(1072, 1447)","(480, 1851)",0
81,"(539, 1269)","(215, 1347)",0
