Iteration,Start Point,End Point,Path Length
116,"(1586, 459)","(1588, 6)",544.4284989122473
117,"(1178, 693)","(1586, 1349)",1075.4082963767173
118,"(445, 104)","(88, 1764)",2157.8998538741102
119,"(923, 205)","(1909, 679)",1692.2409075835733
120,"(1226, 1345)","(1620, 120)",1588.4642122869354
121,"(559, 138)","(792, 878)",1031.3199846221491
122,"(1810, 1902)","(1047, 431)",2732.9456685164987
123,"(888, 742)","(846, 859)",167.79393923934012
124,"(1118, 1194)","(281, 640)",1494.5058428472778
125,"(1624, 1183)","(1699, 1007)",269.274169979696
126,"(20, 1342)","(281, 736)",893.3961030678969
127,"(359, 1077)","(719, 21)",1510.3931444750694
128,"(1930, 1758)","(1388, 431)",2879.0411229459946
129,"(583, 1695)","(907, 1856)",549.7665940288725
130,"(1404, 1542)","(1267, 1018)",725.1635636485427
131,"(921, 1536)","(1420, 1848)",792.9696961967038
132,"(1709, 1133)","(342, 1051)",1931.9170978168233
133,"(1331, 1469)","(542, 1472)",1056.0184694319844
134,"(1948, 878)","(1641, 908)",427.88434303496325
135,"(920, 752)","(1861, 649)",1401.8489885977854
136,"(1392, 1054)","(1432, 922)",173.37972567696704
137,"(1779, 448)","(1078, 42)",1465.2753954689786
138,"(857, 1871)","(445, 1689)",616.3473298326165
139,"(330, 1992)","(826, 133)",3506.3001410239617
140,"(975, 101)","(339, 1785)",2684.4704884100333
141,"(875, 815)","(1824, 634)",1400.5352800988005
142,"(848, 888)","(1925, 713)",1474.2753954689788
143,"(1990, 983)","(1202, 369)",1613.5546160825581
144,"(1995, 953)","(395, 1851)",3450.4889578419175
145,"(1583, 533)","(1916, 253)",579.6072144624387
146,"(1978, 1019)","(315, 1249)",2592.004543019555
147,"(474, 596)","(503, 545)",68.56854249492376
148,"(234, 699)","(404, 1017)",481.51176003293284
149,"(81, 1751)","(107, 866)",1138.0895372438497
150,"(784, 1297)","(131, 1860)",1252.812408671325
151,"(30, 35)","(957, 572)",1348.2854967367434
