Iteration,Start Point,End Point,Path Length
1,"(969, 1359)","(1481, 58)",1899.8510806388404
2,"(1905, 1081)","(1117, 1990)",1550.81450071238
3,"(1778, 83)","(89, 880)",2558.35273940395
4,"(480, 1679)","(409, 645)",1337.9129137347134
5,"(1715, 77)","(111, 1808)",3524.140761457515
6,"(979, 1880)","(485, 1431)",885.2367235014632
7,"(259, 716)","(1007, 29)",1333.9789309126961
8,"(932, 1951)","(539, 1784)",655.9036790187207
9,"(442, 416)","(1653, 1823)",2903.96500450023
10,"(35, 917)","(1792, 559)",2956.5385976290395
11,"(1885, 391)","(1495, 1891)",2385.8430714120914
12,"(1447, 1683)","(1556, 211)",1981.6917010724067
13,"(953, 650)","(661, 1356)",1107.1067811865526
14,"(1893, 83)","(484, 716)",2043.5272708720906
15,"(96, 620)","(974, 522)",1429.1454531540674
16,"(892, 1296)","(73, 828)",1374.7657274770997
17,"(1506, 1305)","(1916, 50)",1751.1647891378252
18,"(1713, 1205)","(1605, 604)",855.79812332145
19,"(169, 775)","(854, 1050)",953.3077913133287
20,"(520, 929)","(1575, 1204)",1419.0205614730392
21,"(1223, 1580)","(1380, 1508)",213.14927829866772
22,"(622, 80)","(456, 745)",937.3788591251941
23,"(1236, 414)","(1423, 1702)",1720.3708498984845
24,"(1834, 871)","(1878, 265)",810.8153672641527
25,"(1802, 601)","(297, 1869)",3060.1264761076927
26,"(1435, 1347)","(1659, 441)",1316.452018978115
27,"(1335, 758)","(568, 1440)",1606.6134905856036
28,"(1883, 458)","(290, 857)",2185.894803240221
29,"(1335, 439)","(1255, 387)",123.2375900532358
30,"(1514, 1566)","(1290, 862)",1038.1950929411205
31,"(9, 1384)","(1289, 1158)",2039.0663761154917
32,"(1784, 1366)","(1861, 157)",1619.8733752154253
33,"(682, 1478)","(440, 1833)",644.5777772109159
34,"(714, 1208)","(314, 1583)",862.7686860699275
35,"(283, 1841)","(491, 1225)",916.8813844421355
36,"(823, 1553)","(1662, 146)",2270.3039661687058
37,"(647, 1512)","(1262, 231)",2396.085712099212
38,"(1854, 639)","(536, 1816)",2730.6563466351467
39,"(1921, 1578)","(239, 783)",2445.9801564019317
40,"(120, 1393)","(527, 1062)",666.4894654563476
41,"(1038, 1241)","(1106, 900)",447.2985565973364
42,"(1013, 724)","(1875, 1348)",1490.7606768432172
43,"(1013, 1803)","(1399, 479)",1918.4490603852876
44,"(1210, 909)","(1696, 1890)",1465.9200564096511
45,"(1377, 1495)","(29, 1647)",1903.9120471829408
46,"(1823, 1886)","(1943, 1272)",871.1828996323005
47,"(1561, 535)","(1852, 1601)",1459.7018023401715
48,"(1628, 1368)","(1270, 1104)",659.862048458378
49,"(395, 1208)","(1731, 389)",2240.7770542341264
50,"(218, 238)","(968, 438)",1012.4793641885831
51,"(1842, 607)","(1142, 581)",928.5382386916281
52,"(1737, 1358)","(96, 576)",2497.6126240337967
53,"(127, 1325)","(296, 1251)",244.01933598375675
54,"(792, 29)","(89, 233)",1081.9890321804612
55,"(1840, 1684)","(1066, 670)",1829.2531008923934
56,"(1929, 1559)","(1378, 381)",1990.0836200581944
57,"(1006, 473)","(1766, 1280)",1481.074385342202
58,"(385, 846)","(1225, 129)",1440.6479784710089
59,"(1526, 1234)","(352, 1813)",1749.6328265693612
60,"(492, 1392)","(1559, 244)",2591.6197667087076
61,"(1354, 207)","(826, 1600)",2099.9831149948004
62,"(1975, 1425)","(529, 1339)",1991.6694064958215
63,"(1351, 1536)","(149, 62)",3148.0411229459614
64,"(549, 1873)","(1203, 1431)",1050.5453813665656
65,"(1510, 804)","(840, 1142)",1347.7657274770997
66,"(1127, 1757)","(515, 83)",3038.124384066656
67,"(476, 1326)","(1643, 1229)",1918.1719318127625
68,"(428, 1441)","(1669, 366)",2702.3182515185376
69,"(1570, 1253)","(1677, 604)",1109.332177930969
70,"(661, 1238)","(1738, 1902)",1693.9932162625714
71,"(1576, 1329)","(725, 1895)",1377.0916292849047
72,"(88, 426)","(445, 91)",749.9209229614232
73,"(1733, 165)","(1988, 1675)",2054.451152426341
74,"(1228, 695)","(1142, 199)",626.9259735953062
75,"(1422, 638)","(1121, 1100)",823.3128419472115
76,"(1547, 1418)","(1899, 948)",780.6387437550163
77,"(774, 1987)","(1477, 1987)",932.8519471906128
78,"(166, 1283)","(1401, 1482)",1719.9465350683458
79,"(310, 1185)","(179, 431)",963.77373670381
80,"(389, 1607)","(1838, 403)",2791.2421330727725
81,"(18, 603)","(519, 1416)",1398.025612106922
82,"(1303, 1671)","(15, 607)",2484.570993473448
83,"(248, 779)","(912, 62)",1271.5525240415031
84,"(505, 1722)","(1662, 552)",2437.955769784295
85,"(882, 767)","(1671, 686)",1175.6580797387737
86,"(34, 1544)","(85, 1877)",427.8132752230976
87,"(1211, 517)","(1847, 1532)",1529.0571413994994
88,"(588, 559)","(478, 836)",375.94321753800864
89,"(654, 1042)","(873, 1894)",1158.2905473706262
90,"(698, 1036)","(857, 1667)",813.4844148224652
91,"(12, 1006)","(629, 37)",1760.3342699720238
92,"(976, 1026)","(1875, 1291)",1388.1505037879501
93,"(1976, 911)","(494, 26)",2455.5293629130992
94,"(503, 524)","(1841, 878)",1901.0348468229142
95,"(526, 1123)","(571, 1618)",638.3645737753193
96,"(993, 1454)","(819, 1420)",261.40411229460716
97,"(991, 906)","(1950, 965)",1334.7362902255768
98,"(230, 309)","(1078, 537)",1321.1971849821757
99,"(482, 1471)","(227, 1554)",366.45793616376994
100,"(306, 464)","(136, 737)",377.173664916308
101,"(654, 1540)","(369, 1985)",749.0752518939748
102,"(295, 1692)","(660, 450)",1649.6429278371263
103,"(1746, 1007)","(1940, 1628)",817.1290757631375
104,"(317, 674)","(1935, 137)",2461.9557697842874
105,"(558, 707)","(813, 727)",335.21529547665057
106,"(192, 1460)","(1696, 1245)",2389.796390217863
107,"(42, 1058)","(1669, 1393)",2434.1100987168493
108,"(302, 938)","(1479, 1421)",1965.870416622598
109,"(443, 1728)","(1047, 8)",3201.6290014246374
110,"(996, 1488)","(904, 1478)",120.16652224137033
111,"(1468, 374)","(360, 491)",1706.2114703320506
112,"(1092, 1569)","(1576, 1091)",1050.2194795587604
113,"(857, 551)","(618, 1899)",1820.7556262093347
114,"(1244, 1334)","(1425, 400)",1185.5798692519713
115,"(1663, 966)","(1431, 775)",370.327993848859
116,"(711, 1910)","(1100, 766)",1770.4196231337646
117,"(38, 988)","(1726, 505)",2780.5730855144625
118,"(661, 79)","(1486, 966)",1577.672365088649
