Iteration,Start Point,End Point,Path Length
1,"(759, 1835)","(737, 881)",1548.684558397469
2,"(584, 1328)","(801, 236)",1349.4865068635202
3,"(208, 1983)","(404, 477)",1963.1769824466453
4,"(1177, 515)","(409, 1263)",1414.878425849308
5,"(9, 1947)","(236, 30)",2598.772003600206
6,"(766, 1053)","(222, 1370)",877.4549775709426
7,"(1583, 542)","(1467, 1851)",1901.4906909456304
8,"(101, 1243)","(721, 1440)",884.2072862499405
9,"(221, 160)","(937, 1304)",1749.838887330021
10,"(720, 502)","(838, 499)",160.37972567696698
11,"(408, 1725)","(1443, 205)",2697.9629124592175
12,"(576, 1205)","(1067, 466)",1232.4276323604747
13,"(1802, 1359)","(693, 1714)",1539.0277041479767
14,"(1379, 1958)","(1296, 1320)",1032.332177930969
15,"(668, 1155)","(461, 1195)",276.3036072312188
16,"(1454, 429)","(1829, 776)",821.1412690719576
17,"(433, 1770)","(1202, 1223)",1436.1748904055903
18,"(1223, 517)","(1861, 577)",955.4082963767171
19,"(1035, 1081)","(1188, 1949)",1225.6702730475938
20,"(1372, 196)","(1726, 1908)",2544.5537495307262
21,"(67, 819)","(1748, 798)",2518.075610831432
22,"(1827, 290)","(786, 1840)",2394.8674580297293
23,"(1609, 643)","(1509, 116)",680.5777772109159
24,"(902, 30)","(179, 1135)",1828.0642840744367
25,"(1729, 1803)","(1847, 1815)",156.30865786510145
26,"(1008, 204)","(1656, 441)",1317.410388417772
27,"(1406, 1145)","(1300, 275)",1138.5209947489254
28,"(570, 1443)","(138, 332)",1542.5230867899804
29,"(1292, 866)","(134, 152)",2334.848122045978
30,"(1177, 758)","(1710, 599)",785.1585130146603
31,"(1567, 1102)","(574, 886)",1531.0571413994994
32,"(1610, 1110)","(935, 1359)",951.2489168102834
33,"(1830, 1910)","(902, 1353)",1474.8733752154255
34,"(1033, 921)","(1108, 577)",429.60007178750146
35,"(1833, 172)","(336, 1347)",2895.0777028724415
36,"(1527, 1477)","(1966, 313)",1596.9393923934085
37,"(1059, 1764)","(1467, 670)",1698.4835482706924
38,"(41, 1153)","(1729, 585)",2641.288814267017
39,"(600, 212)","(1762, 719)",1797.8510806388406
40,"(520, 1649)","(871, 954)",958.6214998123137
41,"(770, 1292)","(1944, 1740)",1825.3435046880163
42,"(1505, 737)","(1588, 1592)",1384.0499987245619
43,"(702, 969)","(204, 956)",694.5605332682132
44,"(341, 1193)","(220, 1060)",224.63455967290633
45,"(419, 1898)","(1296, 1356)",1416.9738802788136
46,"(158, 492)","(804, 1982)",2201.0247455551385
47,"(1004, 309)","(1524, 952)",1064.6336931211338
48,"(540, 819)","(777, 1228)",575.2935059634539
49,"(502, 1683)","(559, 114)",2604.806491485647
50,"(1604, 84)","(1118, 1708)",2176.8826099314047
51,"(495, 1325)","(1619, 1)",2446.4704884100693
52,"(398, 1377)","(1132, 1728)",1144.1139238614899
53,"(493, 456)","(1270, 695)",1065.876333808253
54,"(1979, 1616)","(1342, 817)",1331.6408357960713
55,"(561, 473)","(761, 307)",327.34523779156154
56,"(308, 74)","(1100, 1323)",2455.6227253015527
57,"(1911, 1179)","(168, 649)",2587.761902332444
58,"(1039, 702)","(733, 502)",453.1269837220825
59,"(41, 655)","(1235, 1270)",1747.047040131734
60,"(1985, 1562)","(669, 835)",2077.3973285571765
61,"(379, 1302)","(240, 1327)",178.69343417595184
62,"(1473, 1471)","(1593, 1376)",190.66399692442906
63,"(303, 131)","(1894, 1272)",2543.7770542340886
64,"(1244, 1268)","(1032, 28)",1818.3414126469618
65,"(1857, 740)","(1467, 1069)",643.14631970584
66,"(592, 693)","(1758, 1570)",1900.946535068346
67,"(680, 617)","(450, 87)",1016.6976182580619
68,"(1237, 435)","(38, 1853)",3064.3447301771753
69,"(1061, 1484)","(1265, 321)",1664.998266896454
70,"(1615, 618)","(80, 1492)",2728.129434700564
71,"(1723, 252)","(403, 28)",2108.4978336205613
72,"(1413, 1680)","(1472, 456)",2008.9881656286889
73,"(974, 1315)","(1522, 450)",1263.8956697920107
74,"(1578, 114)","(1668, 1820)",2459.558800164621
75,"(337, 1736)","(1980, 1949)",2306.5121189704164
76,"(1226, 26)","(697, 397)",985.2661607529858
77,"(1087, 1446)","(266, 1358)",1085.7463914933421
78,"(742, 425)","(1581, 685)",1169.930157677416
79,"(85, 1889)","(1635, 1915)",2237.4166645409155
80,"(127, 46)","(1197, 95)",1408.165655689598
81,"(1645, 228)","(862, 823)",1411.2215715998157
82,"(579, 1421)","(1034, 1860)",819.81031663027
83,"(1911, 463)","(1494, 1449)",1873.7749621930923
84,"(532, 1572)","(1338, 518)",2158.6227253015827
85,"(599, 580)","(1105, 1638)",1540.5007922133952
86,"(799, 1282)","(689, 1652)",497.4112549695447
87,"(232, 1116)","(665, 667)",828.7564927611072
88,"(1813, 1040)","(566, 1353)",1713.2774875100338
89,"(51, 525)","(1990, 1832)",3295.677774659891
90,"(1026, 418)","(340, 1792)",2071.242999624626
91,"(658, 26)","(547, 604)",789.79812332145
92,"(753, 649)","(1810, 16)",1792.2652942012137
93,"(286, 1986)","(1644, 270)",3054.9010793632865
94,"(1064, 1360)","(537, 1578)",799.4549775709424
95,"(1573, 1524)","(703, 996)",1295.3393206059066
96,"(158, 81)","(1993, 1510)",3023.406563273058
97,"(969, 1082)","(1538, 629)",951.2072862499406
