Iteration,Start Point,End Point,Path Length
1,"(1858, 1456)","(1401, 776)",0
2,"(879, 132)","(1145, 471)",697.8326112068556
3,"(1383, 304)","(797, 819)",0
4,"(1227, 751)","(1248, 1647)",0
5,"(1385, 731)","(1260, 1334)",832.1463197058401
6,"(856, 1865)","(1048, 804)",0
7,"(358, 325)","(1607, 433)",0
8,"(1355, 150)","(123, 61)",1645.8195513462624
9,"(676, 314)","(1342, 1215)",2604.1151493507227
10,"(1616, 1499)","(1149, 1493)",0
11,"(1568, 947)","(958, 306)",0
12,"(1844, 1255)","(549, 931)",0
13,"(503, 1181)","(114, 125)",0
Iteration,Start Point,End Point,Path Length
1,"(106, 1900)","(1901, 1858)",0
2,"(518, 1818)","(75, 1461)",682.0458146424519
3,"(1279, 394)","(458, 1437)",2618.6370106514014
4,"(842, 1208)","(1631, 76)",0
5,"(1901, 797)","(1931, 811)",0
6,"(1718, 23)","(1292, 1798)",2565.81363416055
7,"(882, 359)","(1138, 208)",0
8,"(891, 188)","(63, 717)",1461.2093782909956
9,"(1511, 1824)","(667, 785)",0
10,"(1401, 544)","(363, 985)",0
11,"(1138, 429)","(960, 1132)",1103.2783540618063
12,"(1153, 1654)","(1395, 1752)",0
13,"(1888, 681)","(1108, 1619)",0
14,"(274, 433)","(1257, 884)",2741.70807846326
15,"(1214, 1581)","(1390, 1080)",0
16,"(1883, 50)","(780, 1108)",0
17,"(699, 81)","(1674, 652)",0
18,"(1561, 214)","(1775, 106)",363.14422766478526
19,"(1886, 949)","(1230, 1255)",0
20,"(1197, 127)","(483, 380)",1130.3494218736716
21,"(395, 1021)","(1672, 921)",0
22,"(34, 748)","(1856, 1995)",0
23,"(827, 1167)","(567, 1829)",0
24,"(255, 392)","(1509, 1301)",0
25,"(995, 960)","(946, 1936)",0
26,"(1507, 5)","(1377, 257)",454.7005768508896
27,"(1603, 637)","(1283, 1565)",0
28,"(1862, 1089)","(842, 635)",0
29,"(228, 1685)","(363, 658)",1336.1261171703102
30,"(1540, 958)","(1822, 610)",0
31,"(1330, 375)","(1749, 333)",906.8103166302702
32,"(106, 1219)","(1031, 828)",0
33,"(613, 361)","(203, 1697)",1938.6845583974693
34,"(543, 557)","(1640, 365)",2314.83592873716
35,"(463, 1433)","(1877, 362)",3065.006635060557
