Iteration,Start Point,End Point,Path Length
1,"(1616, 318)","(107, 1053)",2647.6492039602294
2,"(1324, 308)","(9, 1520)",3270.7955236659855
3,"(131, 121)","(1959, 1926)",4066.216879903218
4,"(810, 697)","(213, 488)",891.0996385116147
5,"(800, 1574)","(1897, 1467)",1470.074385342202
6,"(200, 978)","(1375, 1768)",2171.8897526063383
7,"(673, 506)","(672, 1464)",1242.2316728675808
8,"(431, 1751)","(861, 1033)",1096.9890321804617
9,"(898, 1679)","(388, 872)",1286.8418459228478
10,"(1439, 661)","(1210, 1798)",1714.909955141886
11,"(309, 1565)","(1074, 37)",2344.0735187903956
12,"(1337, 1353)","(84, 413)",3153.2492757476766
13,"(961, 1515)","(1240, 1936)",616.7909806465124
14,"(830, 1379)","(260, 800)",1014.4915574974028
15,"(598, 1019)","(1765, 1055)",1601.4835482706926
16,"(660, 329)","(1362, 1792)",2672.832970144288
17,"(434, 1863)","(166, 1700)",399.5411972844556
18,"(1020, 1629)","(624, 967)",1010.6214998123137
19,"(433, 898)","(1397, 1981)",1849.348555321899
20,"(235, 737)","(109, 1351)",766.1635636485428
21,"(1828, 1431)","(149, 1248)",2534.502017702614
22,"(1906, 556)","(1366, 791)",927.1534623807779
23,"(1807, 1485)","(722, 903)",1833.9515857022286
24,"(1210, 481)","(245, 1505)",2753.8695500707363
25,"(570, 147)","(1263, 349)",1013.1950929411206
26,"(579, 781)","(207, 1257)",770.8153672641528
27,"(266, 652)","(202, 1190)",738.6904755831241
28,"(563, 1735)","(1054, 1735)",701.4305909533022
29,"(163, 761)","(169, 1642)",1073.940258945181
30,"(488, 1825)","(811, 92)",3254.6828252937826
31,"(822, 556)","(1211, 675)",564.7249634685295
32,"(480, 1060)","(1225, 1513)",1247.2388155425183
33,"(259, 1713)","(266, 1909)",241.97770542341408
34,"(1932, 1780)","(473, 547)",2935.0533162548018
35,"(1167, 822)","(1815, 680)",927.2834046956885
36,"(1057, 228)","(1617, 50)",868.538238691628
37,"(12, 572)","(1536, 1643)",2968.1954518785205
38,"(1929, 140)","(1617, 953)",1110.6164491784311
39,"(569, 630)","(500, 142)",841.2295808265258
40,"(1247, 1599)","(1303, 1394)",279.57568516986095
41,"(1667, 1236)","(1404, 1517)",490.3818177180219
42,"(740, 196)","(1939, 1562)",2419.9141392239553
43,"(1438, 221)","(144, 183)",1858.3830432073044
44,"(912, 635)","(1435, 328)",1242.5870119269084
45,"(1048, 1230)","(1723, 773)",1215.256059485221
46,"(743, 307)","(587, 1777)",2409.132393293434
47,"(1063, 712)","(1901, 1261)",1419.8195513462626
48,"(820, 1196)","(748, 1543)",439.74220741123224
49,"(1562, 1004)","(1057, 1335)",735.7859300126299
50,"(708, 1298)","(1568, 1271)",1412.8906191581282
51,"(138, 399)","(47, 717)",405.3574311003818
52,"(1995, 278)","(293, 1952)",3365.719405220232
53,"(1995, 1536)","(148, 86)",3795.596605580225
54,"(397, 1166)","(1693, 1008)",1732.8927111991832
55,"(265, 965)","(1155, 1280)",1332.0966799187875
56,"(1010, 352)","(1272, 1591)",1990.686650438524
57,"(515, 1322)","(1059, 497)",1333.9545442950562
58,"(246, 1709)","(990, 1220)",1194.4987001723402
59,"(878, 266)","(1435, 479)",940.1362184380752
60,"(1135, 604)","(1177, 38)",761.9453095790635
61,"(1366, 1700)","(354, 1883)",1404.9911242215164
62,"(445, 600)","(871, 1681)",1690.0277041479767
63,"(1397, 293)","(1368, 1160)",1363.3393206059066
64,"(1113, 495)","(163, 1299)",1817.738382266632
65,"(1782, 1382)","(1188, 694)",1667.6896090313517
66,"(85, 1557)","(911, 302)",2007.113057309717
67,"(1660, 273)","(79, 1302)",3394.5305884022623
68,"(400, 1845)","(125, 641)",1541.5352800988007
69,"(59, 292)","(1901, 233)",2940.399420598132
70,"(849, 1289)","(835, 1864)",745.9747468305865
71,"(471, 1825)","(1983, 522)",3001.852306128021
72,"(84, 99)","(278, 17)",309.11984104714514
73,"(235, 348)","(1545, 429)",2091.7821048680244
74,"(1150, 1652)","(1299, 1782)",253.91883092036846
75,"(525, 1938)","(497, 389)",2150.936433800569
76,"(1555, 1213)","(1985, 1809)",943.7098115668819
